,timestamp,sensor_id,sensor,measurement,sensor_type,value
0,2025-08-24T12:36:28.630,ESP32,DHT11,temperature-humidity,humidity,20
1,2025-08-24T12:36:28.630,ESP32,DHT11,temperature-humidity,temperature,21
2,2025-08-24T12:36:31.581,ESP32,DHT11,temperature-humidity,temperature,21
3,2025-08-24T12:36:31.581,ESP32,DHT11,temperature-humidity,humidity,20
4,2025-08-24T12:36:34.072,ESP32,DHT11,temperature-humidity,humidity,20
5,2025-08-24T12:36:34.072,ESP32,DHT11,temperature-humidity,temperature,21
6,2025-08-24T12:36:37.112,ESP32,DHT11,temperature-humidity,humidity,20
7,2025-08-24T12:36:37.112,ESP32,DHT11,temperature-humidity,temperature,21
8,2025-08-24T12:36:47.265,ESP32,DHT11,temperature-humidity,humidity,20
9,2025-08-24T12:36:47.265,ESP32,DHT11,temperature-humidity,temperature,21
10,2025-08-24T12:36:49.741,ESP32,DHT11,temperature-humidity,temperature,21
11,2025-08-24T12:36:49.741,ESP32,DHT11,temperature-humidity,humidity,20
12,2025-08-24T12:36:52.201,ESP32,DHT11,temperature-humidity,temperature,21
13,2025-08-24T12:36:52.201,ESP32,DHT11,temperature-humidity,humidity,20
14,2025-08-24T12:37:24.820,ESP32,DHT11,temperature-humidity,temperature,21
15,2025-08-24T12:37:24.820,ESP32,DHT11,temperature-humidity,humidity,32
16,2025-08-24T12:37:27.670,ESP32,DHT11,temperature-humidity,temperature,21
17,2025-08-24T12:37:27.670,ESP32,DHT11,temperature-humidity,humidity,20
18,2025-08-24T12:37:30.758,ESP32,DHT11,temperature-humidity,temperature,21
19,2025-08-24T12:37:30.758,ESP32,DHT11,temperature-humidity,humidity,20
20,2025-08-24T12:37:33.357,ESP32,DHT11,temperature-humidity,temperature,21
21,2025-08-24T12:37:33.357,ESP32,DHT11,temperature-humidity,humidity,20
22,2025-08-24T12:37:36.494,ESP32,DHT11,temperature-humidity,temperature,21
23,2025-08-24T12:37:36.494,ESP32,DHT11,temperature-humidity,humidity,20
24,2025-08-24T12:37:39.067,ESP32,DHT11,temperature-humidity,humidity,20
25,2025-08-24T12:37:39.067,ESP32,DHT11,temperature-humidity,temperature,21
26,2025-08-24T12:37:41.547,ESP32,DHT11,temperature-humidity,humidity,20
27,2025-08-24T12:37:41.547,ESP32,DHT11,temperature-humidity,temperature,21
28,2025-08-24T12:37:44.686,ESP32,DHT11,temperature-humidity,humidity,20
29,2025-08-24T12:37:44.686,ESP32,DHT11,temperature-humidity,temperature,21
30,2025-08-24T12:37:47.245,ESP32,DHT11,temperature-humidity,temperature,21
31,2025-08-24T12:37:47.245,ESP32,DHT11,temperature-humidity,humidity,20
32,2025-08-24T12:37:49.953,ESP32,DHT11,temperature-humidity,humidity,20
33,2025-08-24T12:37:49.953,ESP32,DHT11,temperature-humidity,temperature,21
34,2025-08-24T12:37:53.083,ESP32,DHT11,temperature-humidity,humidity,32
35,2025-08-24T12:37:53.083,ESP32,DHT11,temperature-humidity,temperature,21
36,2025-08-24T12:37:55.713,ESP32,DHT11,temperature-humidity,humidity,20
37,2025-08-24T12:37:55.713,ESP32,DHT11,temperature-humidity,temperature,21
38,2025-08-24T12:37:58.817,ESP32,DHT11,temperature-humidity,humidity,32
39,2025-08-24T12:37:58.817,ESP32,DHT11,temperature-humidity,temperature,22
40,2025-08-24T12:38:01.434,ESP32,DHT11,temperature-humidity,temperature,21
41,2025-08-24T12:38:01.434,ESP32,DHT11,temperature-humidity,humidity,20
42,2025-08-24T12:38:04.353,ESP32,DHT11,temperature-humidity,temperature,21
43,2025-08-24T12:38:04.353,ESP32,DHT11,temperature-humidity,humidity,32
44,2025-08-24T12:38:06.903,ESP32,DHT11,temperature-humidity,temperature,21
45,2025-08-24T12:38:06.903,ESP32,DHT11,temperature-humidity,humidity,20
46,2025-08-24T12:38:09.806,ESP32,DHT11,temperature-humidity,humidity,20
47,2025-08-24T12:38:09.806,ESP32,DHT11,temperature-humidity,temperature,21
48,2025-08-24T12:38:12.951,ESP32,DHT11,temperature-humidity,temperature,21
49,2025-08-24T12:38:12.951,ESP32,DHT11,temperature-humidity,humidity,20
50,2025-08-24T12:38:15.506,ESP32,DHT11,temperature-humidity,humidity,20
51,2025-08-24T12:38:15.506,ESP32,DHT11,temperature-humidity,temperature,21
52,2025-08-24T12:38:18.010,ESP32,DHT11,temperature-humidity,humidity,20
53,2025-08-24T12:38:18.010,ESP32,DHT11,temperature-humidity,temperature,21
54,2025-08-24T12:38:21.141,ESP32,DHT11,temperature-humidity,temperature,21
55,2025-08-24T12:38:21.141,ESP32,DHT11,temperature-humidity,humidity,20
56,2025-08-24T12:38:23.713,ESP32,DHT11,temperature-humidity,temperature,21
57,2025-08-24T12:38:23.713,ESP32,DHT11,temperature-humidity,humidity,20
58,2025-08-24T12:38:26.181,ESP32,DHT11,temperature-humidity,temperature,21
59,2025-08-24T12:38:26.181,ESP32,DHT11,temperature-humidity,humidity,20
60,2025-08-24T12:38:28.659,ESP32,DHT11,temperature-humidity,humidity,25
61,2025-08-24T12:38:28.659,ESP32,DHT11,temperature-humidity,temperature,21
62,2025-08-24T12:38:52.786,ESP32,DHT11,temperature-humidity,humidity,20
63,2025-08-24T12:38:52.786,ESP32,DHT11,temperature-humidity,temperature,21
64,2025-08-24T12:38:56.834,ESP32,DHT11,temperature-humidity,humidity,20
65,2025-08-24T12:38:56.834,ESP32,DHT11,temperature-humidity,temperature,21
66,2025-08-24T12:39:03.040,ESP32,DHT11,temperature-humidity,temperature,21
67,2025-08-24T12:39:03.040,ESP32,DHT11,temperature-humidity,humidity,20
68,2025-08-24T12:39:05.501,ESP32,DHT11,temperature-humidity,temperature,21
69,2025-08-24T12:39:05.501,ESP32,DHT11,temperature-humidity,humidity,20
70,2025-08-24T12:39:08.068,ESP32,DHT11,temperature-humidity,temperature,21
71,2025-08-24T12:39:08.068,ESP32,DHT11,temperature-humidity,humidity,20
72,2025-08-24T12:39:10.738,ESP32,DHT11,temperature-humidity,temperature,21
73,2025-08-24T12:39:10.738,ESP32,DHT11,temperature-humidity,humidity,20
74,2025-08-24T12:39:16.539,ESP32,DHT11,temperature-humidity,humidity,20
75,2025-08-24T12:39:16.539,ESP32,DHT11,temperature-humidity,temperature,21
76,2025-08-24T12:39:19.391,ESP32,DHT11,temperature-humidity,humidity,20
77,2025-08-24T12:39:19.391,ESP32,DHT11,temperature-humidity,temperature,21
78,2025-08-24T12:39:21.844,ESP32,DHT11,temperature-humidity,temperature,21
79,2025-08-24T12:39:21.844,ESP32,DHT11,temperature-humidity,humidity,20
80,2025-08-24T12:39:24.321,ESP32,DHT11,temperature-humidity,humidity,31
81,2025-08-24T12:39:24.321,ESP32,DHT11,temperature-humidity,temperature,21
82,2025-08-24T12:39:26.785,ESP32,DHT11,temperature-humidity,temperature,21
83,2025-08-24T12:39:26.785,ESP32,DHT11,temperature-humidity,humidity,20
84,2025-08-24T12:39:29.852,ESP32,DHT11,temperature-humidity,temperature,22
85,2025-08-24T12:39:29.852,ESP32,DHT11,temperature-humidity,humidity,31
86,2025-08-24T12:39:32.666,ESP32,DHT11,temperature-humidity,humidity,20
87,2025-08-24T12:39:32.666,ESP32,DHT11,temperature-humidity,temperature,21
88,2025-08-24T12:39:35.136,ESP32,DHT11,temperature-humidity,temperature,21
89,2025-08-24T12:39:35.136,ESP32,DHT11,temperature-humidity,humidity,20
90,2025-08-24T12:39:42.727,ESP32,DHT11,temperature-humidity,temperature,21
91,2025-08-24T12:39:42.727,ESP32,DHT11,temperature-humidity,humidity,20
92,2025-08-24T12:40:11.719,ESP32,DHT11,temperature-humidity,humidity,20
93,2025-08-24T12:40:11.719,ESP32,DHT11,temperature-humidity,temperature,21
94,2025-08-24T12:40:18.723,ESP32,DHT11,temperature-humidity,temperature,21
95,2025-08-24T12:40:18.723,ESP32,DHT11,temperature-humidity,humidity,20
96,2025-08-24T12:40:21.874,ESP32,DHT11,temperature-humidity,temperature,21
97,2025-08-24T12:40:21.874,ESP32,DHT11,temperature-humidity,humidity,20
98,2025-08-24T12:40:28.368,ESP32,DHT11,temperature-humidity,humidity,20
99,2025-08-24T12:40:28.368,ESP32,DHT11,temperature-humidity,temperature,21
100,2025-08-24T12:40:31.500,ESP32,DHT11,temperature-humidity,temperature,22
101,2025-08-24T12:40:31.500,ESP32,DHT11,temperature-humidity,humidity,20
