#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,sensor
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:06:20Z,-0.11199999999999999,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:06:30Z,0.46290000000000003,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:06:40Z,0.19855555555555554,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:06:50Z,-0.08800000000000001,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:07:00Z,-0.21044444444444446,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:07:10Z,-0.6353,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:07:20Z,0.16622222222222227,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:07:30Z,0.15860000000000002,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:07:40Z,-0.6133333333333333,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:07:50Z,-0.5898,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:08:00Z,0.10577777777777772,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:08:10Z,0.1985,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:08:20Z,-0.16888888888888892,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:08:30Z,0.7442,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:08:40Z,0.23911111111111114,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:08:50Z,0.2995,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:09:00Z,-0.29866666666666664,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:09:10Z,-0.004800000000000004,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:09:20Z,0.20911111111111114,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:09:30Z,0.3776,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:09:40Z,0.5183333333333332,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:09:50Z,-0.2871000000000001,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:10:00Z,-0.6368888888888888,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:10:10Z,-0.08449999999999999,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:10:20Z,0.3145555555555556,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:10:30Z,-0.33811111111111114,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:10:40Z,-0.7607999999999999,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:10:50Z,-1.194,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:11:00Z,-0.06949999999999999,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:11:10Z,-0.00033333333333335213,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:11:20Z,-0.11939999999999999,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:11:30Z,-0.21288888888888888,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:11:40Z,-0.3127,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:11:50Z,0.2648888888888889,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:12:00Z,-0.24319999999999994,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:12:10Z,-0.39866666666666667,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:12:20Z,0.27559999999999996,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:12:30Z,0.15344444444444438,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:12:40Z,0.2597777777777777,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:12:50Z,0.034000000000000016,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:13:00Z,-0.20644444444444446,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:13:10Z,0.1982,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:13:20Z,0.17422222222222222,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:13:30Z,0.2828,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:13:40Z,0.142,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:13:50Z,0.33390000000000003,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:14:00Z,0.43600000000000005,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:14:10Z,-0.24609999999999999,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:14:20Z,-0.03977777777777786,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:14:30Z,0.08540000000000002,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:14:40Z,-0.340888888888889,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:14:50Z,0.650111111111111,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:15:00Z,0.4730999999999999,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:15:10Z,-0.224,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:15:20Z,-0.3182999999999999,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:15:30Z,-0.228,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:15:40Z,0.5727,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:15:50Z,0.16200000000000003,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:16:00Z,-0.28470000000000006,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:16:10Z,-0.17355555555555555,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:16:20Z,0.766888888888889,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:16:30Z,0.009400000000000009,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:16:40Z,-0.21144444444444443,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:16:50Z,0.061800000000000035,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:17:00Z,0.12633333333333333,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:17:10Z,-0.4290999999999999,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:17:20Z,-0.6187777777777778,x,acceleration,esp32-01,acc-01
,,0,2025-07-15T13:06:15.116195371Z,2025-07-15T14:06:15.116195371Z,2025-07-15T13:17:30Z,-0.5568000000000001,x,acceleration,esp32-01,acc-01
